# wltelfit transtelfit wldata fluxdata
1.183838378906250000e+03 9.997347695878702201e-01 1.183838378906250000e+03 9.788287878036499023e-01
1.183843872070312500e+03 9.997210665923007555e-01 1.183843872070312500e+03 9.613946080207824707e-01
1.183849365234375000e+03 9.997058546355787056e-01 1.183849365234375000e+03 9.262766242027282715e-01
1.183854980468750000e+03 9.996889288600446788e-01 1.183854980468750000e+03 9.103332757949829102e-01
1.183860473632812500e+03 9.996703560319203374e-01 1.183860473632812500e+03 8.641732931137084961e-01
1.183865966796875000e+03 9.996500553698107749e-01 1.183865966796875000e+03 8.594881892204284668e-01
1.183871459960937500e+03 9.996276805227456430e-01 1.183871459960937500e+03 8.880712985992431641e-01
1.183877075195312500e+03 9.996029598109557046e-01 1.183877075195312500e+03 9.069458842277526855e-01
1.183882568359375000e+03 9.995756096614597519e-01 1.183882568359375000e+03 9.284296631813049316e-01
1.183888061523437500e+03 9.995436898939387138e-01 1.183888061523437500e+03 9.447818994522094727e-01
1.183893554687500000e+03 9.995017424529673011e-01 1.183893554687500000e+03 9.572082757949829102e-01
1.183899169921875000e+03 9.994523489378052128e-01 1.183899169921875000e+03 9.711550474166870117e-01
1.183904663085937500e+03 9.994145236897141737e-01 1.183904663085937500e+03 9.809596538543701172e-01
1.183910156250000000e+03 9.993842308651565975e-01 1.183910156250000000e+03 9.683548212051391602e-01
1.183915649414062500e+03 9.993425167311672519e-01 1.183915649414062500e+03 9.775115251541137695e-01
1.183921264648437500e+03 9.992887734017008583e-01 1.183921264648437500e+03 9.710506200790405273e-01
1.183926757812500000e+03 9.992272359231341161e-01 1.183926757812500000e+03 9.853689074516296387e-01
1.183932250976562500e+03 9.991578990608626087e-01 1.183932250976562500e+03 1.000552177429199219e+00
1.183937744140625000e+03 9.990791704867163503e-01 1.183937744140625000e+03 9.982638359069824219e-01
1.183943237304687500e+03 9.989892153995663104e-01 1.183943237304687500e+03 1.012411952018737793e+00
1.183948852539062500e+03 9.988859690432887461e-01 1.183948852539062500e+03 1.009132623672485352e+00
1.183954345703125000e+03 9.987678628478438014e-01 1.183954345703125000e+03 1.002562880516052246e+00
1.183959838867187500e+03 9.986319076345233636e-01 1.183959838867187500e+03 1.006757020950317383e+00
1.183965332031250000e+03 9.984726963672551081e-01 1.183965332031250000e+03 1.002899646759033203e+00
1.183970947265625000e+03 9.982845554133336075e-01 1.183970947265625000e+03 1.002407789230346680e+00
1.183976440429687500e+03 9.980625771631854715e-01 1.183976440429687500e+03 1.007921218872070312e+00
1.183981933593750000e+03 9.977985984349130311e-01 1.183981933593750000e+03 1.000556230545043945e+00
1.183987426757812500e+03 9.974794816924617002e-01 1.183987426757812500e+03 1.005991339683532715e+00
1.183992919921875000e+03 9.970857707733524755e-01 1.183992919921875000e+03 1.011681795120239258e+00
1.183998535156250000e+03 9.965931024934052695e-01 1.183998535156250000e+03 1.007926344871520996e+00
1.184004028320312500e+03 9.959729535005261702e-01 1.184004028320312500e+03 1.001098275184631348e+00
1.184009521484375000e+03 9.951749788235072502e-01 1.184009521484375000e+03 9.924677610397338867e-01
1.184015014648437500e+03 9.941094110511990989e-01 1.184015014648437500e+03 9.795725941658020020e-01
1.184020629882812500e+03 9.926380802933030267e-01 1.184020629882812500e+03 1.000498056411743164e+00
